      #Energy        tdos
     -19.66257       0.00000
     -19.64857       0.00000
     -19.63457       0.00000
     -19.61957       0.00000
     -19.60557       0.00000
     -19.59157       0.00000
     -19.57757       0.00000
     -19.56257       0.00000
     -19.54857       0.00000
     -19.53457       0.00000
     -19.52057       0.00000
     -19.50557       0.00000
     -19.49157       0.00000
     -19.47757       0.00000
     -19.46357       0.00000
     -19.44957       0.00000
     -19.43457       0.00000
     -19.42057       0.00000
     -19.40657       0.00000
     -19.39257       0.00000
     -19.37757       0.00000
     -19.36357       0.00000
     -19.34957       0.00000
     -19.33557       0.00000
     -19.32057       0.00000
     -19.30657       0.00000
     -19.29257       0.00000
     -19.27857       0.00000
     -19.26357       0.00000
     -19.24957       0.00000
     -19.23557       0.00000
     -19.22157       0.00000
     -19.20657       0.00000
     -19.19257       0.00000
     -19.17857       0.00000
     -19.16457       0.00000
     -19.15057       0.00000
     -19.13557       0.00000
     -19.12157       0.00000
     -19.10757       0.00000
     -19.09357       0.00000
     -19.07857       0.00000
     -19.06457       0.00000
     -19.05057       0.00000
     -19.03657       0.00000
     -19.02157       0.00000
     -19.00757       0.00000
     -18.99357       0.00000
     -18.97957       0.00000
     -18.96457       0.00000
     -18.95057       0.00000
     -18.93657       0.00000
     -18.92257       0.00000
     -18.90757       0.00000
     -18.89357       0.00000
     -18.87957       0.00000
     -18.86557       0.00000
     -18.85157       0.00000
     -18.83657       0.00000
     -18.82257       0.00000
     -18.80857       0.00000
     -18.79457       0.00000
     -18.77957       0.00000
     -18.76557       0.00000
     -18.75157       0.00000
     -18.73757       0.00000
     -18.72257       0.00000
     -18.70857       0.00000
     -18.69457       0.00000
     -18.68057       0.00000
     -18.66557       0.00000
     -18.65157       0.00000
     -18.63757       0.00000
     -18.62357       0.00000
     -18.60857       0.00000
     -18.59457       0.00000
     -18.58057       0.00000
     -18.56657       0.00000
     -18.55257       0.00000
     -18.53757       0.00000
     -18.52357       0.00000
     -18.50957       0.00002
     -18.49557       0.00013
     -18.48057       0.00064
     -18.46657       0.00263
     -18.45257       0.00945
     -18.43857       0.02961
     -18.42357       0.08116
     -18.40957       0.19530
     -18.39557       0.41420
     -18.38157       0.77920
     -18.36657       1.31300
     -18.35257       2.00600
     -18.33857       2.82400
     -18.32457       3.72400
     -18.30957       4.66900
     -18.29557       5.62400
     -18.28157       6.57000
     -18.26757       7.52400
     -18.25357       8.55500
     -18.23857       9.75600
     -18.22457      11.19000
     -18.21057      12.88000
     -18.19657      14.88000
     -18.18157      17.29000
     -18.16757      20.22000
     -18.15357      23.63000
     -18.13957      27.26000
     -18.12457      30.68000
     -18.11057      33.35000
     -18.09657      34.69000
     -18.08257      34.13000
     -18.06757      31.31000
     -18.05357      26.37000
     -18.03957      20.08000
     -18.02557      13.66000
     -18.01057       8.21200
     -17.99657       4.33000
     -17.98257       1.99000
     -17.96857       0.79370
     -17.95457       0.27370
     -17.93957       0.08138
     -17.92557       0.02082
     -17.91157       0.00458
     -17.89757       0.00086
     -17.88257       0.00014
     -17.86857       0.00002
     -17.85457       0.00000
     -17.84057       0.00000
     -17.82557       0.00000
     -17.81157       0.00000
     -17.79757       0.00000
     -17.78357       0.00000
     -17.76857       0.00000
     -17.75457       0.00000
     -17.74057       0.00000
     -17.72657       0.00000
     -17.71157       0.00000
     -17.69757       0.00000
     -17.68357       0.00000
     -17.66957       0.00000
     -17.65557       0.00000
     -17.64057       0.00000
     -17.62657       0.00000
     -17.61257       0.00000
     -17.59857       0.00000
     -17.58357       0.00000
     -17.56957       0.00000
     -17.55557       0.00000
     -17.54157       0.00000
     -17.52657       0.00000
     -17.51257       0.00000
     -17.49857       0.00000
     -17.48457       0.00000
     -17.46957       0.00000
     -17.45557       0.00000
     -17.44157       0.00000
