#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 540  33
# Band-Index:    1
   0.81373    -13.008777  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.82169    -13.008716  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.82965    -13.008477  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.83762    -13.008072  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.84558    -13.007502  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.85354    -13.006800  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.668
   0.86150    -13.005903  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.670
   0.86947    -13.004844  0.642  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.670
   0.87743    -13.003625  0.644  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.670
   0.88539    -13.002285  0.644  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.669
   0.89336    -13.000751  0.644  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.669
   0.90132    -12.999064  0.644  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.669
   0.90928    -12.997226  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.669
   0.91724    -12.995240  0.643  0.009  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.671
   0.92521    -12.993108  0.645  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.670
   0.93317    -12.990836  0.644  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.670
   0.94113    -12.988427  0.644  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.670
   0.94910    -12.985884  0.643  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.669
   0.95706    -12.983211  0.645  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.671
   0.96502    -12.980375  0.645  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.671
   0.97298    -12.977458  0.644  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.670
   0.98095    -12.974426  0.644  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.672
   0.98891    -12.971319  0.645  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.671
   0.99687    -12.968058  0.645  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.671
   1.00484    -12.964718  0.645  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.672
   1.01280    -12.961287  0.645  0.010  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.672
   1.02076    -12.957772  0.645  0.010  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.672
   1.02872    -12.954181  0.646  0.010  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.672
   1.03669    -12.950545  0.645  0.010  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.672
   1.04465    -12.946824  0.647  0.010  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.673
   1.05261    -12.943051  0.646  0.010  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.672
   1.06058    -12.939234  0.647  0.010  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.674
   1.06854    -12.935381  0.646  0.010  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.673
   1.07650    -12.931475  0.647  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.674
   1.08446    -12.927583  0.647  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.674
   1.09243    -12.923684  0.648  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.675
   1.10039    -12.919791  0.647  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.674
   1.10835    -12.915898  0.648  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.675
   1.11631    -12.912047  0.647  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.674
   1.12428    -12.908234  0.648  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.675
   1.13224    -12.904433  0.649  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.676
   1.14020    -12.900752  0.648  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.675
   1.14817    -12.897169  0.649  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.676
   1.15613    -12.893634  0.649  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.677
   1.16409    -12.890199  0.648  0.011  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.676
   1.17205    -12.886867  0.649  0.012  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.677
   1.18002    -12.883678  0.650  0.012  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.678
   1.18798    -12.880632  0.649  0.012  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.677
   1.19594    -12.877743  0.650  0.013  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.678
   1.20391    -12.875026  0.650  0.013  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.679
   1.21187    -12.872496  0.649  0.013  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.678
   1.21983    -12.870168  0.650  0.013  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.678
   1.22779    -12.868057  0.650  0.013  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.679
   1.23576    -12.866230  0.649  0.013  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.678
   1.24372    -12.864597  0.650  0.013  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.679
   1.25168    -12.863226  0.650  0.013  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.680
   1.25965    -12.862132  0.651  0.013  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.678
   1.26761    -12.861329  0.650  0.013  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.679
   1.27557    -12.860830  0.650  0.014  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.680
   1.28353    -12.860655  0.651  0.014  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.679
   1.28353    -12.860655  0.651  0.014  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.679
   1.29946    -12.861359  0.650  0.014  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.680
   1.31539    -12.863503  0.649  0.014  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.679
   1.33131    -12.867164  0.651  0.014  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.679
   1.34724    -12.872418  0.650  0.014  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.678
   1.36316    -12.879330  0.650  0.014  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.678
