#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index    1
   2.59309    -24.274519  0.000  0.000  0.000  0.000  0.232  0.246  0.146  0.116  0.244  0.984
   2.63734    -24.274272  0.000  0.000  0.000  0.000  0.235  0.245  0.146  0.115  0.245  0.985
   2.68159    -24.274758  0.000  0.000  0.000  0.000  0.238  0.242  0.141  0.113  0.250  0.985
   2.72585    -24.275458  0.000  0.000  0.000  0.000  0.250  0.235  0.129  0.108  0.261  0.984
   2.77010    -24.276264  0.000  0.000  0.000  0.000  0.261  0.227  0.120  0.105  0.272  0.984
   2.81435    -24.277372  0.000  0.000  0.000  0.000  0.274  0.219  0.106  0.101  0.284  0.984
   2.85860    -24.278672  0.000  0.000  0.000  0.000  0.290  0.207  0.091  0.095  0.300  0.985
   2.90285    -24.280069  0.000  0.000  0.000  0.000  0.302  0.199  0.080  0.092  0.311  0.984
   2.94710    -24.281409  0.000  0.000  0.000  0.000  0.320  0.184  0.063  0.088  0.328  0.984
   2.99135    -24.283017  0.000  0.000  0.000  0.000  0.336  0.169  0.048  0.087  0.344  0.984
   3.03561    -24.284601  0.000  0.000  0.000  0.000  0.351  0.155  0.033  0.087  0.358  0.984
   3.07986    -24.286009  0.000  0.000  0.000  0.000  0.360  0.146  0.026  0.088  0.365  0.983
   3.12411    -24.287464  0.000  0.000  0.000  0.000  0.369  0.135  0.018  0.090  0.373  0.983
   3.16836    -24.288777  0.000  0.000  0.000  0.000  0.375  0.126  0.011  0.093  0.379  0.984
   3.21261    -24.289924  0.000  0.000  0.000  0.000  0.380  0.119  0.006  0.095  0.383  0.984
   3.25686    -24.290988  0.000  0.000  0.000  0.000  0.385  0.113  0.004  0.097  0.385  0.983
   3.30112    -24.291421  0.000  0.000  0.000  0.000  0.386  0.106  0.002  0.102  0.387  0.983
   3.34537    -24.292028  0.000  0.000  0.000  0.000  0.388  0.103  0.000  0.104  0.388  0.983
   3.38962    -24.292385  0.000  0.000  0.000  0.000  0.388  0.106  0.000  0.102  0.388  0.984
   3.43387    -24.293575  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
 
# Band-Index    2
   3.43387    -24.293575  0.000  0.000  0.000  0.000  0.388  0.104  0.000  0.104  0.388  0.984
   3.38962    -24.292385  0.000  0.000  0.000  0.000  0.388  0.106  0.000  0.102  0.388  0.984
   3.34537    -24.292028  0.000  0.000  0.000  0.000  0.388  0.103  0.000  0.104  0.388  0.983
   3.30112    -24.291421  0.000  0.000  0.000  0.000  0.386  0.106  0.002  0.102  0.387  0.984
   3.25686    -24.290988  0.000  0.000  0.000  0.000  0.385  0.113  0.004  0.097  0.385  0.983
   3.21261    -24.289924  0.000  0.000  0.000  0.000  0.380  0.119  0.006  0.095  0.383  0.984
   3.16836    -24.288777  0.000  0.000  0.000  0.000  0.375  0.126  0.011  0.093  0.379  0.984
   3.12411    -24.287464  0.000  0.000  0.000  0.000  0.369  0.135  0.018  0.090  0.373  0.983
   3.07986    -24.286009  0.000  0.000  0.000  0.000  0.360  0.146  0.026  0.088  0.365  0.983
   3.03561    -24.284601  0.000  0.000  0.000  0.000  0.351  0.155  0.033  0.087  0.358  0.984
   2.99135    -24.283017  0.000  0.000  0.000  0.000  0.336  0.169  0.048  0.087  0.344  0.984
   2.94710    -24.281409  0.000  0.000  0.000  0.000  0.320  0.184  0.063  0.088  0.328  0.984
   2.90285    -24.280069  0.000  0.000  0.000  0.000  0.302  0.199  0.080  0.092  0.311  0.984
   2.85860    -24.278672  0.000  0.000  0.000  0.000  0.290  0.207  0.091  0.095  0.300  0.985
   2.81435    -24.277372  0.000  0.000  0.000  0.000  0.274  0.219  0.106  0.101  0.284  0.984
   2.77010    -24.276264  0.000  0.000  0.000  0.000  0.261  0.227  0.120  0.105  0.272  0.984
   2.72585    -24.275458  0.000  0.000  0.000  0.000  0.250  0.235  0.129  0.108  0.261  0.984
   2.68159    -24.274758  0.000  0.000  0.000  0.000  0.238  0.242  0.141  0.113  0.250  0.985
   2.63734    -24.274272  0.000  0.000  0.000  0.000  0.235  0.245  0.146  0.115  0.245  0.985
   2.59309    -24.274519  0.000  0.000  0.000  0.000  0.232  0.246  0.146  0.116  0.244  0.984
   2.59309    -24.274519  0.000  0.000  0.000  0.000  0.232  0.246  0.146  0.116  0.244  0.984
   2.54884    -24.274573  0.000  0.000  0.000  0.000  0.232  0.242  0.148  0.119  0.243  0.984
   2.50459    -24.275192  0.000  0.000  0.000  0.000  0.231  0.231  0.150  0.133  0.240  0.984
   2.46034    -24.276255  0.000  0.000  0.000  0.000  0.230  0.216  0.152  0.150  0.236  0.984
   2.41609    -24.277445  0.000  0.000  0.000  0.000  0.228  0.202  0.155  0.167  0.231  0.985
   2.37183    -24.278970  0.000  0.000  0.000  0.000  0.229  0.186  0.156  0.186  0.228  0.984
   2.32758    -24.280428  0.000  0.000  0.000  0.000  0.228  0.172  0.158  0.203  0.223  0.984
   2.28333    -24.282103  0.000  0.000  0.000  0.000  0.227  0.158  0.159  0.220  0.219  0.984
   2.23908    -24.283691  0.000  0.000  0.000  0.000  0.228  0.148  0.160  0.233  0.216  0.984
   2.19483    -24.285345  0.000  0.000  0.000  0.000  0.227  0.137  0.161  0.247  0.213  0.984
   2.15058    -24.287203  0.000  0.000  0.000  0.000  0.226  0.125  0.163  0.260  0.210  0.983
   2.10632    -24.288899  0.000  0.000  0.000  0.000  0.228  0.114  0.163  0.271  0.208  0.984
   2.06207    -24.290567  0.000  0.000  0.000  0.000  0.228  0.106  0.163  0.282  0.205  0.983
   2.01782    -24.291612  0.000  0.000  0.000  0.000  0.229  0.097  0.162  0.291  0.204  0.983
   1.97357    -24.292564  0.000  0.000  0.000  0.000  0.230  0.091  0.163  0.298  0.203  0.983
   1.92932    -24.293452  0.000  0.000  0.000  0.000  0.231  0.085  0.163  0.305  0.201  0.983
   1.88507    -24.294167  0.000  0.000  0.000  0.000  0.231  0.081  0.162  0.309  0.201  0.984
   1.84082    -24.294532  0.000  0.000  0.000  0.000  0.231  0.078  0.162  0.312  0.199  0.983
