#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60  60
# Band-Index:    1
   2.322   -50.686  0.000 -0.157  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.157
   2.269   -50.686  0.000  0.000  0.000 -0.163  0.000  0.000  0.000  0.000  0.000 -0.163
   2.216   -50.686  0.000  0.000  0.000 -0.173  0.000  0.000  0.000  0.000  0.000 -0.173
   2.163   -50.686  0.000  0.000  0.000 -0.224  0.000  0.000  0.000  0.000  0.000 -0.224
   2.111   -50.686  0.000 -0.192  0.000 -0.093  0.000  0.000  0.000  0.000  0.000 -0.284
   2.058   -50.685  0.000 -0.156  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.156
   2.005   -50.685  0.000 -0.151  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.151
   1.952   -50.686  0.000 -0.150  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.150
   1.899   -50.686  0.000 -0.143  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.143
   1.846   -50.686  0.000 -0.138  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.138
   1.794   -50.686  0.000 -0.140  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.140
   1.741   -50.686  0.000 -0.153  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.153
   1.688   -50.686  0.000 -0.118  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.118
   1.635   -50.685  0.000 -0.116  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.116
   1.582   -50.685  0.000 -0.117  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.117
   1.530   -50.686  0.000 -0.117  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.117
   1.477   -50.685  0.000 -0.124  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.124
   1.424   -50.685  0.000 -0.122  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.122
   1.371   -50.685  0.000 -0.121  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.121
   1.371   -50.685  0.000 -0.120  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.120
   1.345   -50.685  0.000 -0.244  0.000 -0.210  0.000  0.000  0.000  0.000  0.000 -0.454
   1.318   -50.685  0.000  0.350  0.000  0.099  0.000  0.000  0.000  0.000  0.000  0.450
   1.292   -50.685  0.000  0.695  0.000  0.247  0.000  0.000  0.000  0.000  0.000  0.944
   1.265   -50.684  0.000  0.553  0.000  0.182  0.000  0.000  0.000  0.000  0.000  0.736
   1.239   -50.685  0.000  0.715  0.001  0.244  0.000  0.000  0.000  0.000  0.000  0.959
   1.213   -50.685  0.000  0.715  0.001  0.236  0.000  0.000  0.000  0.000  0.000  0.950
   1.186   -50.685  0.000  0.606  0.000  0.203  0.000  0.000  0.000  0.000  0.000  0.809
   1.160   -50.685  0.000  0.120  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.154
   1.133   -50.685  0.000 -0.154  0.000 -0.057  0.000  0.000  0.000  0.000  0.000 -0.211
   1.107   -50.684  0.000 -0.671  0.000 -0.220  0.000  0.000  0.000  0.000  0.000 -0.890
   1.080   -50.684  0.000 -0.715 -0.001 -0.233  0.000  0.000  0.000  0.000  0.000 -0.948
   1.054   -50.684  0.000 -0.725 -0.001 -0.235  0.000  0.000  0.000  0.000  0.000 -0.960
   1.028   -50.684  0.000 -0.682  0.000 -0.224  0.000  0.000  0.000  0.000  0.000 -0.906
   1.001   -50.685  0.000 -0.729 -0.001 -0.248  0.000  0.000  0.000  0.000  0.000 -0.978
   0.975   -50.684  0.000 -0.725 -0.002 -0.262  0.000  0.000  0.000  0.000  0.000 -0.990
   0.948   -50.685  0.000 -0.720 -0.001 -0.260  0.000  0.000  0.000  0.000  0.000 -0.982
   0.922   -50.685  0.000 -0.716  0.000 -0.247  0.000  0.000  0.000  0.000  0.000 -0.964
   0.896   -50.685  0.000 -0.423  0.000 -0.147  0.000  0.000  0.000  0.000  0.000 -0.570
   0.869   -50.685  0.000 -0.126  0.000 -0.041  0.000  0.000  0.000  0.000  0.000 -0.167
   0.869   -50.685  0.000 -0.125  0.000 -0.041  0.000  0.000  0.000  0.000  0.000 -0.166
   0.823   -50.685  0.000 -0.743  0.000 -0.239  0.000  0.000  0.000  0.000  0.000 -0.982
   0.778   -50.685  0.000 -0.752  0.000 -0.244  0.000  0.000  0.000  0.000  0.000 -0.996
   0.732   -50.684  0.000 -0.752  0.000 -0.244  0.000  0.000  0.000  0.000  0.000 -0.996
   0.686   -50.685  0.000 -0.751  0.000 -0.244  0.000  0.000  0.000  0.000  0.000 -0.996
   0.640   -50.684  0.000 -0.807  0.000 -0.189  0.000  0.000  0.000  0.000  0.000 -0.994
   0.595   -50.685  0.000 -0.766  0.000 -0.230  0.000  0.000  0.000  0.000  0.000 -0.996
   0.549   -50.684  0.000 -0.772  0.000 -0.224  0.000  0.000  0.000  0.000  0.000 -0.996
   0.503   -50.685  0.000 -0.754  0.000 -0.242  0.000  0.000  0.000  0.000  0.000 -0.996
   0.457   -50.685  0.000  0.746  0.000  0.245  0.000  0.000  0.000  0.000  0.000  0.992
   0.412   -50.685  0.000 -0.758  0.000 -0.237  0.000  0.000  0.000  0.000  0.000 -0.994
   0.366   -50.686  0.000  0.258  0.002  0.736  0.000  0.000  0.000  0.000  0.000  0.996
   0.320   -50.685  0.000 -0.771  0.000 -0.224  0.000  0.000  0.000  0.000  0.000 -0.995
   0.274   -50.686  0.000  0.749  0.000  0.247  0.000  0.000  0.000  0.000  0.000  0.996
   0.229   -50.686  0.000  0.747  0.000  0.244  0.000  0.000  0.000  0.000  0.000  0.991
   0.183   -50.686  0.000  0.285  0.001  0.709  0.000  0.000  0.000  0.000  0.000  0.994
   0.137   -50.687  0.000 -0.253  0.000 -0.742  0.000  0.000  0.000  0.000  0.000 -0.996
   0.091   -50.685  0.000 -0.258 -0.002 -0.736  0.000  0.000  0.000  0.000  0.000 -0.996
   0.046   -50.686  0.000  0.712  0.000  0.227  0.000  0.000  0.000  0.000  0.000  0.939
   0.000   -50.686  0.000 -0.165  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.166
# Band-Index:    3
   0.000   -50.686  0.000  0.000  0.000  0.175  0.000  0.000  0.000  0.000  0.000  0.175
   0.046   -50.685  0.000 -0.246 -0.003 -0.747  0.000  0.000  0.000  0.000  0.000 -0.996
   0.091   -50.685  0.000 -0.733  0.000 -0.257  0.000  0.000  0.000  0.000  0.000 -0.990
   0.137   -50.686  0.000 -0.742  0.000 -0.253  0.000  0.000  0.000  0.000  0.000 -0.995
   0.183   -50.686  0.000 -0.700  0.000 -0.293  0.000  0.000  0.000  0.000  0.000 -0.993
   0.229   -50.686  0.000 -0.239 -0.002 -0.755  0.000  0.000  0.000  0.000  0.000 -0.996
   0.274   -50.686  0.000 -0.243 -0.002 -0.750  0.000  0.000  0.000  0.000  0.000 -0.996
   0.320   -50.685  0.000 -0.224 -0.001 -0.771  0.000  0.000  0.000  0.000  0.000 -0.996
   0.366   -50.685  0.000  0.737  0.000  0.258  0.000  0.000  0.000  0.000  0.000  0.996
   0.412   -50.685  0.000 -0.236 -0.004 -0.755  0.000  0.000  0.000  0.000  0.000 -0.996
   0.457   -50.684  0.000 -0.246  0.000 -0.750  0.000  0.000  0.000  0.000  0.000 -0.996
   0.503   -50.684  0.000 -0.242 -0.001 -0.753  0.000  0.000  0.000  0.000  0.000 -0.996
   0.549   -50.684  0.000 -0.217  0.000 -0.750  0.000  0.000  0.000  0.000  0.000 -0.966
   0.595   -50.684  0.000  0.232  0.000  0.764  0.000  0.000  0.000  0.000  0.000  0.996
   0.640   -50.684  0.000  0.142  0.001  0.852  0.000  0.000  0.000  0.000  0.000  0.996
   0.686   -50.683  0.000  0.243  0.000  0.752  0.000  0.000  0.000  0.000  0.000  0.996
   0.732   -50.683  0.000  0.244  0.000  0.751  0.000  0.000  0.000  0.000  0.000  0.996
   0.778   -50.683  0.000  0.244  0.000  0.752  0.000  0.000  0.000  0.000  0.000  0.996
   0.823   -50.684  0.000  0.242  0.000  0.754  0.000  0.000  0.000  0.000  0.000  0.996
   0.869   -50.683  0.000  0.156  0.000  0.479  0.000  0.000  0.000  0.000  0.000  0.634
   0.869   -50.683  0.000  0.156  0.000  0.479  0.000  0.000  0.000  0.000  0.000  0.634
   0.896   -50.684  0.000 -0.214  0.000 -0.628  0.000  0.000  0.000  0.000  0.000 -0.842
   0.922   -50.684  0.000 -0.249  0.000 -0.721  0.000  0.000  0.000  0.000  0.000 -0.970
   0.948   -50.684  0.000 -0.263  0.000 -0.727  0.000  0.000  0.000  0.000  0.000 -0.990
   0.975   -50.684  0.000 -0.264  0.000 -0.732  0.000  0.000  0.000  0.000  0.000 -0.996
   1.001   -50.684  0.000 -0.252  0.000 -0.742  0.000  0.000  0.000  0.000  0.000 -0.994
   1.028   -50.684  0.000 -0.245  0.000 -0.746  0.000  0.000  0.000  0.000  0.000 -0.990
   1.054   -50.684  0.000 -0.243  0.000 -0.751  0.000  0.000  0.000  0.000  0.000 -0.994
   1.080   -50.684  0.000 -0.234  0.000 -0.717  0.000  0.000  0.000  0.000  0.000 -0.950
   1.107   -50.684  0.000 -0.245  0.000 -0.751  0.000  0.000  0.000  0.000  0.000 -0.996
   1.133   -50.684  0.000 -0.240  0.000 -0.721  0.000  0.000  0.000  0.000  0.000 -0.962
   1.160   -50.684  0.000  0.222  0.000  0.705  0.000  0.000  0.000  0.000  0.000  0.926
   1.186   -50.684  0.000  0.248  0.000  0.745  0.000  0.000  0.000  0.000  0.000  0.993
   1.213   -50.684  0.000  0.247  0.000  0.749  0.000  0.000  0.000  0.000  0.000  0.996
   1.239   -50.684  0.000  0.252  0.000  0.743  0.000  0.000  0.000  0.000  0.000  0.996
   1.265   -50.684  0.000  0.232  0.000  0.715  0.000  0.000  0.000  0.000  0.000  0.946
   1.292   -50.684  0.000  0.258  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.984
   1.318   -50.685  0.000 -0.199  0.000 -0.579  0.000  0.000  0.000  0.000  0.000 -0.778
   1.345   -50.685  0.000 -0.171  0.000 -0.191  0.000  0.000  0.000  0.000  0.000 -0.362
   1.371   -50.685  0.000  0.000  0.000  0.148  0.000  0.000  0.000  0.000  0.000  0.148
   1.371   -50.685  0.000  0.000  0.000  0.149  0.000  0.000  0.000  0.000  0.000  0.150
   1.424   -50.684  0.000  0.000  0.000  0.166  0.000  0.000  0.000  0.000  0.000  0.166
   1.477   -50.684  0.000  0.000  0.000  0.230  0.000  0.000  0.000  0.000  0.000  0.230
   1.530   -50.684  0.000  0.000  0.000  0.178  0.000  0.000  0.000  0.000  0.000  0.178
   1.582   -50.683  0.000  0.000  0.001  0.312  0.000  0.000  0.000  0.000  0.000  0.312
   1.635   -50.684  0.000  0.000  0.000  0.328  0.000  0.000  0.000  0.000  0.000  0.328
   1.688   -50.684  0.000  0.000  0.001  0.375  0.000  0.000  0.000  0.000  0.000  0.376
   1.741   -50.684  0.000  0.000  0.000  0.581  0.000  0.000  0.000  0.000  0.000  0.582
   1.794   -50.684  0.000  0.000  0.000  0.299  0.000  0.000  0.000  0.000  0.000  0.299
   1.846   -50.684  0.000  0.000  0.000  0.206  0.000  0.000  0.000  0.000  0.000  0.206
   1.899   -50.684  0.000  0.000  0.000  0.180  0.000  0.000  0.000  0.000  0.000  0.180
   1.952   -50.684  0.000  0.000  0.000  0.271  0.000  0.000  0.000  0.000  0.000  0.271
   2.005   -50.685  0.000  0.000  0.000  0.228  0.000  0.000  0.000  0.000  0.000  0.228
   2.058   -50.684  0.000  0.000  0.001  0.257  0.000  0.000  0.000  0.000  0.000  0.258
   2.111   -50.686  0.000 -0.001  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.012
